timestamp,posx,posy,action
5193144,35.0,38.0,0
5194022,35.0,38.0,1
5204014,173.0,47.0,0
5207528,179.0,68.58011,2
5207567,180.0,76.822235,2
5207607,181.0,91.81999,2
5207646,183.05624,110.506256,2
5207686,184.0,129.03914,2
5207725,182.0,144.97493,2
5207764,180.78638,160.28174,2
5207799,181.0,171.0,2
5207843,181.0,179.97664,2
5207883,179.6142,184.77159,2
5207917,180.0,186.47925,2
5207962,180.0,188.28796,2
5208059,180.0,189.0,2
5208191,180.0,190.0,2
5208391,179.0,190.0,2
5208435,174.48459,190.0,2
5208474,169.68434,190.0,2
5208512,160.57266,190.0,2
5208553,133.34372,187.0,2
5208592,103.914795,187.0,2
5208632,71.838684,190.0,2
5208671,52.15863,187.8798,2
5208710,35.608116,188.0,2
5208750,25.409203,185.1023,2
5208789,21.57882,183.57883,2
5208859,19.519897,182.5199,2
5208908,18.566475,182.0,2
5209299,19.0,181.0,2
5209444,19.0,180.0,2
5209497,19.0,179.0,2
5209545,19.0,178.0,2
5209710,19.0,177.0,2
5209933,27.41507,176.0,2
5209972,30.0,175.0627,2
5209974,30.0,175.0,2
5210048,30.0,172.51453,2
5210073,30.0,172.0,2
5210130,33.378166,172.0,2
5210139,34.0,179.0,2
5210162,34.0,179.0,1
5216336,9.0,178.0,0
5217226,27.103775,178.0,2
5217249,29.989243,178.0,2
5217305,34.862427,171.0,2
5217344,39.21862,171.0,2
5217381,43.963737,169.51813,2
5217423,47.99064,170.0,2
5217462,50.0,168.62556,2
5217502,54.0,167.23378,2
5217530,56.979973,167.0,2
5217579,58.487267,164.51273,2
5217620,59.0,163.06905,2
5217659,59.0,160.71295,2
5217699,60.0,157.29362,2
5217738,60.0,152.81445,2
5217778,60.0,147.5889,2
5217817,60.0,144.24532,2
5217856,61.251236,140.49753,2
5217893,62.0,136.0273,2
5217935,54.793564,131.94102,2
5217974,47.5,124.0,2
5218014,43.0,110.19435,2
5218054,43.0,96.84349,2
5218091,38.029068,85.57266,2
5218132,36.919777,75.67911,2
5218172,35.0,67.92603,2
5218211,34.0,62.259926,2
5218251,33.0,57.87352,2
5218289,33.0,55.50908,2
5218329,33.0,53.104637,2
5218364,33.0,52.0,2
5218405,33.0,49.514565,2
5218447,33.0,49.0,2
5218487,33.0,45.61136,2
5218527,33.0,44.0832,2
5218566,33.0,41.781624,2
5218763,33.0,54.481247,2
5218800,42.0,63.0,2
5218842,46.0,73.74964,2
5218881,46.0,85.26793,2
5218921,48.0,95.89508,2
5218960,50.45549,112.59422,2
5219000,52.43859,128.07013,2
5219039,54.728493,139.32123,2
5219079,61.739853,152.23308,2
5219118,61.725365,162.90147,2
5219157,63.024162,171.09665,2
5219197,65.39661,175.79321,2
5219236,65.0,179.58258,2
5219273,65.0,181.0,2
5219306,65.0,182.0,2
5219488,67.0,183.0,2
5219510,67.0,183.0,1
5231477,35.0,173.0,0
5231891,52.218704,173.0,2
5231959,54.5,173.0,2
5232117,55.0,173.0,2
5232599,55.0,162.0,2
5232778,55.0,161.0,2
5232927,55.0,160.0,2
5233563,55.0,160.0,1
5236166,31.0,41.0,0
5236858,50.04724,41.0,2
5236890,51.0,41.0,2
5236937,52.920837,41.0,2
5236964,55.961998,41.0,2
5237005,57.0,41.0,2
5237072,58.0,41.0,2
5237134,59.865936,41.0,2
5237162,61.43474,41.0,2
5237204,63.0,41.0,2
5237699,63.0,52.0,2
5237734,63.0,53.0,2
5237843,63.0,54.873306,2
5237880,63.0,56.0,2
5237921,63.0,58.485466,2
5237961,63.0,61.0,2
5237996,63.0,63.0,2
5238029,63.0,64.0,2
5238079,63.0,65.0,2
5238112,63.0,66.0,2
5239260,49.02546,66.0,2
5239302,50.0,53.93296,2
5239341,60.239082,50.074547,2
5239381,63.561928,47.292046,2
5239420,70.73413,43.510582,2
5239455,75.0,40.5,2
5239499,83.084366,37.978905,2
5239538,88.39961,38.0,2
5239578,94.57555,38.0,2
5239617,101.27078,38.0,2
5239655,103.487274,38.0,2
5239696,109.95082,38.0,2
5239736,116.67056,38.0,2
5239775,122.61882,38.0,2
5239814,129.34169,38.0,2
5239854,133.48636,38.0,2
5239893,135.88245,38.0,2
5239920,138.9727,46.918114,2
5239972,142.65697,44.0,2
5240011,144.0,46.043457,2
5240051,146.4462,46.0,2
5240090,150.45128,47.817093,2
5240130,153.18918,50.18918,2
5240151,153.0,51.48909,2
5240209,157.96042,52.0,2
5240242,159.0,53.0,2
5240327,161.13303,55.13302,2
5240366,164.98178,55.0,2
5240406,167.91763,56.0,2
5240432,170.96027,56.0,2
5240485,173.69151,56.0,2
5240514,175.47925,56.0,2
5240539,176.0,56.0,2
5240642,178.2216,56.0,2
5240663,179.48999,56.0,2
5240721,182.01259,56.0,2
5240745,183.48636,56.0,2
5240768,184.0,56.0,2
5240918,185.93051,56.0,2
5240952,187.0,56.0,2
5241026,190.94983,56.0,2
5243551,190.94983,56.0,261
5244820,190.0,56.0,2
5244869,190.0,56.0,2
5244952,190.0,56.0,2
5245560,192.0,56.0,2
5245566,192.0,56.0,6
5245566,7.0,50.0,1
5256512,160.0,179.0,0
5257263,160.0,179.0,1
5257674,167.0,172.0,0
5258588,167.0,172.0,1
5259460,168.0,178.0,0
5260195,168.0,161.27805,2
5260235,168.0,158.86847,2
5260257,168.0,157.5,2
5260511,156.16502,158.0,2
5260550,151.5348,158.0,2
5260590,146.29688,162.21875,2
5260629,139.97577,164.0,2
5260669,128.3719,164.0,2
5260708,115.27382,164.0,2
5260747,98.780975,164.0,2
5260785,80.51074,166.87231,2
5260826,66.18498,166.95375,2
5260866,58.771263,169.30719,2
5260905,55.559364,169.0,2
5260944,50.90603,169.0,2
5261023,49.058006,169.0,2
5261025,49.0,169.0,2
5261075,48.0,169.0,2
5261290,48.0,173.0,2
5261312,48.0,173.0,1
5273993,168.0,178.0,0
5274853,168.0,162.0,2
5274900,168.0,152.99649,2
5274939,163.0,142.04413,2
5274979,162.18707,124.49658,2
5275018,159.64897,106.595856,2
5275056,161.02003,88.08011,2
5275097,161.89812,73.305664,2
5275136,162.0,61.10415,2
5275176,165.43513,53.84729,2
5275215,166.0,49.89479,2
5275254,166.0,46.020027,2
5275294,166.0,45.01773,2
5275302,166.0,44.5,2
5275370,166.0,42.521614,2
5275543,168.0,43.0,2
5275566,168.0,43.0,1
5295943,51.0,178.0,0
5297207,74.0,178.0,2
5297236,105.32681,180.0,2
5297258,135.21393,182.10117,2
5297280,148.15756,183.41576,2
5297302,151.99138,182.25215,2
5297325,157.3794,182.0,2
5297347,158.43924,182.0,2
5297369,160.78937,181.0,2
5297391,163.2722,181.0,2
5297436,164.82584,181.0,2
5297458,166.17104,181.0,2
5297521,167.0,180.0,2
5297554,167.0,179.0,2
5297587,168.0,179.0,2
5297612,168.0,177.51091,2
5297687,168.0,177.0,2
5297752,169.0,177.0,2
5298256,169.0,177.0,1
5300278,173.0,28.0,0
5300978,173.0,28.0,1
5301921,9.0,178.0,0
5302351,34.31421,182.0,2
5302373,38.19677,183.39893,2
5302395,47.90574,185.84367,2
5302417,60.967316,188.17587,2
5302440,77.46536,188.0,2
